PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
4874246,"Ausar Thompson",5800,SF/PF,DET,POR,121984,1429338,,27,11.85,5.78,2.56,0.36,1.45,1.69,0.47,14.41,17.63,20.19,2.16,8.34,8.14,4.45,1.83,3.09,1.86,9.97,4.81,27.66,27.66,26.74,4.61,2.1%,132,147,SUN,266068,64,4874246,19.76,34.33,1.9,1.9,6.98,19.61,23.68,26.74,29.54,34.38,36.42,45.59,
4878314,"Marcus Sasser",3100,PG/SG,DET,POR,121984,1174920,,2,0.78,0.2,0.36,0.13,0.09,0.07,0,1.14,0.98,1.34,0.07,0.56,0.36,0.16,0.35,0.1,0.09,0.71,0.29,1.68,1.68,1.73,0.56,0.47%,132,147,SUN,90129,65,4878314,0,3.53,0,0,0,0,0,1.73,2.31,4.04,5.19,8.94,
6412876,"Ron Holland",3600,SF,DET,POR,121984,1501942,,11,4.41,1.77,0.86,0.35,0.55,0.63,0.14,5.27,6.18,7.04,0.77,2.63,2.45,1.17,1.53,1.28,1.01,3.98,1.52,9.58,9.58,9.35,2.6,0.05%,132,147,SUN,368369,66,6412876,5.23,14.22,0,0,0.01,5.19,7.53,9.35,11.43,14.28,15.58,21.04,
1037,"James Harden",10000,PG,LAC,SAC,121985,395388,,36.5,25.68,4.73,8.71,3.62,4.18,1.36,0.4,34.39,30.41,39.12,1.76,13.44,8.09,3.22,10.16,9.58,8.39,18.25,6.84,45.52,45.52,48.49,4.85,10.0%,151,154,SUN,12228,70,1037,37.54,59.58,9.57,9.57,14.81,37.24,43.74,48.49,52.74,59.49,62.49,74.98,
1315,"Nicolas Batum",3900,PF/C,LAC,SAC,121985,456451,,26,4.79,3.58,1.65,1.23,0.41,1.04,0.54,6.44,8.37,10.02,1.58,5.23,0.92,0.41,3.09,0.37,0.29,4.01,1.64,15.89,15.89,15.31,3.93,0.45%,151,154,SUN,12208,71,1315,10.06,21.53,0.39,0.39,1.35,9.81,12.92,15.31,17.7,21.53,22.97,30.14,
13310,"Kawhi Leonard",7800,SF/PF,LAC,SAC,121985,512591,,35.5,24.37,5.96,3.28,2.27,1.77,1.76,0.49,27.65,30.33,33.61,2.25,9.24,13.6,6.68,5.74,4.92,4.2,19.34,8.95,41.42,41.42,41.62,5.34,18.61%,151,154,SUN,12333,72,13310,32.37,51.12,24.37,24.37,21.56,32.15,37.63,41.62,45.36,51.34,53.83,65.05,
35215,"Kris Dunn",4900,PG/SG,LAC,SAC,121985,698968,,29,7.07,4,3.76,1.01,0.77,1.7,0.52,10.83,11.07,14.83,2.22,7.76,4.01,1.84,3.07,0.55,0.34,7.08,2.85,23.4,23.4,22.28,4.55,0.0%,151,154,SUN,28005,76,35215,15.83,29.52,1.2,1.2,5.87,15.77,19.53,22.28,25.28,29.79,31.54,40.3,
35226,"Ivica Zubac",7700,C,LAC,SAC,121985,920093,,34,18.64,11.37,2.36,0,1.45,0.72,1.07,21,30.01,32.37,1.79,13.73,12.68,8,0,3.93,2.65,12.68,8,39.74,39.74,40.29,5.23,13.56%,151,154,SUN,27986,77,35226,32.11,48.95,13.73,13.73,16.48,31.69,36.6,40.29,43.73,48.89,50.85,60.19,
36064,"Derrick Jones Jr.",4300,PF,LAC,SAC,121985,892925,,23,8.73,2.71,0.67,1.07,0.59,0.66,0.31,9.4,11.44,12.11,0.97,3.38,4.2,2.1,3.03,1.8,1.31,7.23,3.17,15.31,15.31,15.3,3.56,0.34%,151,154,SUN,31198,78,36064,9.88,21.75,0.06,0.06,0.66,9.95,13.01,15.3,17.85,21.93,23.46,30.85,
37899,"Bogdan Bogdanovic",5100,SG/SF,LAC,SAC,121985,830648,,27,11.85,2.52,2.87,2.25,1.38,0.84,0.31,14.72,14.37,17.24,1.15,5.39,4.43,1.8,6.48,1.67,1.49,10.91,4.05,21.25,21.25,22.04,4.32,0.05%,151,154,SUN,38384,79,37899,14.87,30.05,0.96,0.96,5.75,14.69,18.75,22.04,25.08,30.15,32.17,41.55,
570198,"Drew Eubanks",3100,C,LAC,SAC,121985,883573,,7,2.42,2.01,0.39,0.02,0.27,0.04,0.45,2.81,4.43,4.82,0.49,2.4,1.66,0.92,0.04,0.74,0.52,1.7,0.94,6.62,6.62,6.37,2.05,0.22%,151,154,SUN,83665,80,570198,3.45,10.19,0,0,0,3.31,5.1,6.37,7.9,10.19,11.21,15.29,
1167676,"Amir Coffey",3800,SG/SF,LAC,SAC,121985,944822,,22,8.04,1.86,1.1,1.24,0.49,0.45,0.21,9.14,9.9,11,0.66,2.96,3.05,1.45,3.09,1.61,1.43,6.14,2.69,13.41,13.41,13.71,3.61,0.05%,151,154,SUN,71582,81,1167676,8.27,20.25,0.09,0.09,1.07,8.02,11.12,13.71,16.3,20.18,21.73,29.23,
409321,"Marvin Bagley",,,MEM,NOP,121980,1076209,,9,4.51,2.2,0.36,0.08,0.42,0.4,0.17,4.87,6.71,7.07,0.57,2.56,3.02,1.72,0.25,1.17,0.85,3.27,1.8,8.98,8.98,8.77,32,0.0%,142,143,SUN,75292,90,409321,5.09,13.09,0,0,0.01,5.01,7.02,8.77,10.27,13.03,14.28,19.8,
1115421,"Ja Morant",8500,PG,MEM,NOP,121980,1065906,,32,25.35,4.24,7.38,1.79,3.84,1.19,0.32,32.73,29.59,36.97,1.51,11.62,14.51,6.18,6.37,9.15,7.63,20.88,7.97,42.2,42.2,44.03,5.18,14.12%,142,143,SUN,71310,91,1115421,34.81,54.34,16.95,16.95,19.29,34.92,40.23,44.03,48.33,54.66,57.69,69.33,
1115422,"Brandon Clarke",4100,PF/C,MEM,NOP,121980,892914,,24,10.25,7.48,1.65,0.04,0.69,0.73,1.11,11.9,17.73,19.38,1.84,9.13,7.22,4.48,0.5,1.79,1.18,7.72,4.52,26.53,26.53,25.66,6.26,17.95%,142,143,SUN,72581,92,1115422,19.31,33.04,24.56,24.56,31.33,19.27,22.97,25.66,28.59,32.99,34.95,43.75,
1158073,"John Konchar",3300,SF,MEM,NOP,121980,852907,,14,2.71,2.26,1.65,0.52,0.32,0.42,0.21,4.36,4.97,6.62,0.63,3.91,1.06,0.44,1.63,0.31,0.26,2.69,0.96,9.47,9.47,9.37,2.84,0.27%,142,143,SUN,70850,93,1158073,5.33,14.22,0,0,0.02,5.32,7.6,9.37,11.14,14.18,15.7,21.78,
2439095,"Desmond Bane",8000,SG,MEM,NOP,121980,944263,,34,22.84,6.57,5.47,3.07,2.45,1.18,0.45,28.31,29.41,34.88,1.63,12.04,10.48,4.92,8.12,4.31,3.79,18.6,7.99,41.37,41.37,43.12,5.39,19.61%,142,143,SUN,72613,94,2439095,33.37,53.67,23.13,23.13,24.89,33.29,38.83,43.12,47.15,53.96,56.76,69.09,
